name,latitude,longitude,transport_type
Amersham Underground Station,51.674206,-0.607362,tube_station
Chalfont & Latimer Underground Station,51.667915,-0.560616,tube_station
Chalfont & Latimer Underground Station,51.668122,-0.560624,tube_station
Chesham Underground Station,51.705227,-0.611113,tube_station
Croxley Underground Station,51.647069,-0.441746,tube_station
Chorleywood Underground Station,51.654292,-0.518319,tube_station
Chorleywood Underground Station,51.654141,-0.518511,tube_station
Moor Park Underground Station,51.629693,-0.432704,tube_station
Moor Park Underground Station,51.629782,-0.431964,tube_station
Rickmansworth Underground Station,51.640385,-0.473654,tube_station
Watford Underground Station,51.657531,-0.417157,tube_station
Acton Town Station,51.50301,-0.28042,tube_station
Acton Town Station,51.50324,-0.27991,tube_station
Archway Station,51.56568,-0.13493,tube_station
Archway Station,51.56524,-0.13476,tube_station
Archway Station,51.56491,-0.13502,tube_station
Aldgate East Station,51.5153,-0.07208,tube_station
Aldgate East Station,51.51472,-0.07088,tube_station
Aldgate East Station,51.51513,-0.07172,tube_station
Aldgate East Station,51.51511,-0.07182,tube_station
Aldgate East Station,51.5158,-0.06997,tube_station
Aldgate East Station,51.51602,-0.07002,tube_station
Angel Station,51.53184,-0.10635,tube_station
Angel Station,51.53279,-0.10599,tube_station
Aldgate Station,51.51405,-0.07528,tube_station
Alperton Station,51.54063,-0.29913,tube_station
Arnos Grove Station,51.61606,-0.1334,tube_station
Arsenal,51.5584,-0.10568,tube_station
Bromley By Bow Station,51.52473,-0.01144,tube_station
Bromley By Bow Station,51.52478,-0.01107,tube_station
Barbican Station,51.52031,-0.09753,tube_station
Bounds Green Station,51.60693,-0.12456,tube_station
Bounds Green Station,51.60693,-0.1243,tube_station
Becontree Station,51.5404,0.12751,tube_station
Barkingside Station,51.58582,0.08836,tube_station
Bethnal Green Station,51.52732,-0.05527,tube_station
Bethnal Green Station,51.52781,-0.05545,tube_station
Bethnal Green Station,51.52717,-0.05544,tube_station
Bethnal Green Station,51.52739,-0.0556,tube_station
