flood_area_id,description,severity,severity_level,message,time_raised,time_severity_changed,easting,northing
033WAF205,River Arrow and River Alne,Flood alert,3,"High river levels today may lead to flooding. Flooding is possible from the morning of 16 December 2025. Flooding may affect low-lying land and roads adjacent to the River Arrow between Studley and Salford Priors and the River Alne between Bird in Hand and Alcester on the River Alne including farmland and caravan parks. We are closely monitoring the situation. Avoid using low lying footpaths and any bridges near local watercourses. Avoid low lying roads near rivers, which may be flooded. This message will be updated by 11:00AM on 17 December 2025 or as the situation changes.
",2025-12-16T10:42:49,2025-12-15T16:58:00,,
112WAFTUBA,Upper Bristol Avon area,Flood alert,3,"This flood alert remains in place. Areas most at risk include low lying areas in Tetbury, Badminton, Brook End at Luckington, Corsham, Lacock and the road at Reybridge. Flooding is forecast to affect locations near the Bristol Avon, Tetbury Avon, Sherston Avon, Dauntsey Brook, with low lying land and roads expected to be most affected. River levels are high and rising. Further rainfall is, however, forecast later this week and will keep river levels high. We are closely monitoring the situation and will update this message by 11:30AM on 17 December 2025, or as the situation changes.
",2025-12-16T10:35:26,2025-11-30T18:55:00,,
034WAF428,Lower River Soar in Leicestershire,Flood alert,3,"Areas most at risk are low-lying agricultural land and roads including Slash Lane at Sileby and the Mountsorrel to Sileby road. River levels at Pillings Lock Gauge are rising due to recent rainfall and will remain high until Thursday 18 December 2025. No further rainfall is forecast until tomorrow afternoon. We are closely monitoring the situation. Take care and avoid walking, cycling or driving through flood water. This message will be updated by 09:00AM on 17 December 2025 or as the situation changes.
",2025-12-16T16:36:05,2025-12-15T16:40:00,,
061WAF02Churn,River Churn and its tributaries,Flood alert,3,"""Rising river levels may lead to flooding. Flooding remains possible.

Flooding of low lying land and roads is expected to continue today, 16 December 2025, along the River Churn around Cerney Wick. The forecast is for rain clearing through the morning, leaving a predominantly dry afternoon and night. Levels along the River Churn are currently stable in the Cerney Wick area, but are rising in the Cirencester area in response to overnight rainfall. Levels are expected to rise further through today.

We are closely monitoring the situation. Avoid using low lying footpaths and any bridges near local watercourses. Go to River levels online for updates on current river levels.

This message will be updated by 19:00 16 December 2025 or as the situation changes.""
",2025-12-16T08:47:46,2025-12-01T20:58:00,,
061WAF10Windrush,River Windrush from Bourton to Newbridge,Flood alert,3,"""Rising river levels may lead to flooding. 

Flooding of low lying land and roads is expected to continue today, 16 December 2025, especially in the Newbridge and Standlake areas. The forecast is for rain clearing through the morning, leaving a predominantly dry afternoon and night. River levels are currently stable but are expected to rise along much of the River Windrush in response to overnight rain.  

We are monitoring rainfall and river levels. 

Avoid low lying roads near rivers, which may be flooded. 

This message will be updated by 19:00 16 December 2025 or as the situation changes.""
",2025-12-16T08:49:19,2025-12-05T19:05:00,,
061WAF12Evenlode,River Evenlode from Moreton in Marsh to Cassington and also the River Glyme at Wootton and Woodstock,Flood alert,3,"""Rising river levels may lead to flooding. 

Flooding of low lying land and roads is expected today, 16 December 2025, especially in the Woodstock area along the River Glyme and around Shipton Under Wychwood on the River Evenlode. The forecast is for rain clearing through the morning, leaving a predominantly dry afternoon and night. River levels along the River Glyme are currently stable, but levels along the River Evenlode are expected to rise through today in response to overnight rainfall. 

We are monitoring rainfall and river levels. 

Avoid low lying roads near rivers, which may be flooded. 

This message will be updated by 19:00 16 December 2025 or as the situation changes.""
",2025-12-16T08:49:37,2025-12-05T19:10:00,,
033WAF302,River Blythe in Warwickshire,Flood alert,3,"High river levels today may lead to flooding. Flooding is possible from the morning of 16 December 2025. Flooding may affect low-lying land and roads adjacent to the River Blythe between Cheswick Green and Blyth End. We are closely monitoring the situation. Avoid using low lying footpaths and any bridges near local watercourses. Avoid low lying roads near rivers, which may be flooded. This message will be updated by 11:00AM on 17 December 2025 or as the situation changes.
",2025-12-16T10:48:54,2025-12-15T16:48:00,,
033WAF203,River Leam and River Itchen,Flood alert,3,"Rising river levels today may lead to flooding. Flooding is possible from the afternoon of 16 December 2025. Flooding may affect low-lying land and roads adjacent to the River Leam between Grandborough and Leamington including Kites Hardwick, Birdingbury, Marton, Eathorpe, Hunningham and Offchurch and the River Itchen between Southam and Marton including Long Itchington. We are closely monitoring the situation. Avoid using low lying footpaths and any bridges near local watercourses. Avoid low lying roads near rivers, which may be flooded. This message will be updated by 11:00AM on 17 December 2025 or as the situation changes.
",2025-12-16T10:19:36,2025-12-15T16:40:00,,
061WAF14RayOxon,River Ray and its tributaries from Shipton Lee to and including Islip,Flood alert,3,"""High river levels may lead to flooding. 

Flooding of low lying land and roads remains possible today, 16 December 2025, especially in the Islip area. The forecast is for rain clearing through the morning, leaving a predominantly dry afternoon and night. River levels near Islip are currently stable. It is expected that river levels will rise again in the coming 48 hours in response to recent rainfall.  

We are monitoring rainfall and river levels. 

Avoid low lying roads near rivers, which may be flooded. 

This message will be updated by 19:00 16 December 2025 or as the situation changes.""
",2025-12-16T08:49:59,2025-12-06T18:47:00,,
061WAF23CalcLech,River Thames and its small tributaries from Calcutt to Lechlade,Flood alert,3,"""Rising river levels may lead to flooding. Flooding remains possible .

Flooding of low lying land and roads is expected to continue today, 16 December 2025, along the River Thames, especially in the Kempsford area. The forecast is for rain clearing through the morning, leaving a predominantly dry afternoon and night. River levels are currently stable. River levels are expected to rise again later today following overnight rainfall. 

We are closely monitoring the situation. 

Avoid using low lying footpaths and any bridges near local watercourses. Go to River levels online for updates on current river levels.

This message will be updated by 19:00 16 December 2025 or as the situation changes.""
",2025-12-16T08:48:25,2025-12-02T19:26:00,,
