org_code,name,status,postcode,last_change_date
FA711,LEYTON ORIENT PHARMACY,Active,E10 5NF,2021-02-10
FAK87,YEMI PHARMACY,Active,E15 1EN,2023-05-10
FAL35,MICHAEL FRANKLIN CHEMISTS,Active,E17 7PJ,2024-01-09
FAQ84,GREEN LIGHT PHARMACY,Active,E1 4FG,2025-06-27
FCD48,GRANSHAW'S CHEMIST,Active,E11 3NJ,2021-02-10
FCG13,TRIPLESAVE (CHEMISTS) LTD,Active,E17 4AZ,2021-02-10
FCH47,SANCHOH LIMITED,Active,E17 4PP,2022-04-14
FCM01,CAVENDISH PHARMACY,Active,E17 6HD,2021-02-10
FCP18,MEDINA PHARMACY,Active,E15 3ET,2021-02-11
FD204,SUPERDRUG PHARMACY,Active,E17 7JR,2020-04-02
FD441,WELL,Active,E17 3LX,2024-01-09
FD513,ROYAL DOCKS PHARMACY,Active,E16 2TQ,2024-06-27
FD607,FOCAL POINT PHARMACY,Active,E17 3LQ,2022-04-14
FD649,NASH CHEMIST,Active,E14 7HG,2021-02-10
FDW47,PHARMACYFORCE,Active,E1 1DT,2023-02-09
FE194,SINCLAIRS,Active,E1 3NN,2021-02-10
FE374,MUHAMMADS PHARMACY,Active,E12 6EA,2023-09-14
FE652,ROHPHARM LIMITED,Active,E13 0AL,2021-02-10
FE672,BERG'S PHARMACY,Active,E16 1EH,2024-01-09
FE854,THE DISPENSARY,Active,E10 6JP,2023-06-28
FEF76,BEACONSFIELD PHARMACY,Active,E17 8EE,2024-01-09
FEG29,ACHEASON PHARMACY,Active,E11 4HH,2021-02-10
FEJ78,BRITANNIA PHARMACY,Active,E13 8QG,2021-02-10
FEM28,BRITANNIA PHARMACY,Active,E17 8PX,2021-02-10
FEQ29,WOOD STREET PHARMACY,Active,E17 3LL,2025-01-23
FEW28,LEA BRIDGE PHARMACY,Active,E17 9DS,2024-01-09
FF488,MS DISPENSING CHEMISTS,Active,E10 7EA,2023-05-10
FF496,MERAJ PHARMACY,Active,E10 6JP,2021-02-10
FF672,DAY LEWIS PHARMACY,Active,E16 3AR,2023-02-15
FF694,MYCHEMISTONLINE,Active,E16 1AH,2021-06-01
FFF99,KALHAN LTD,Active,E13 0QA,2021-02-10
FG493,WAGPHARM CHEMIST,Active,E15 3JF,2021-02-10
FGA03,BOOTS,Active,E14 6BT,2024-01-09
FGH86,BOWER CHEMIST,Active,E11 4EA,2023-01-26
FGK55,BOOTS,Active,E17 7JR,2022-03-16
FGP46,MEDICOS PHARMACY,Active,E17 9AP,2021-02-10
FGR40,VICARAGE PHARMACY,Active,E15 4ES,2020-04-02
FGT28,ECLIPSE PHARMACY,Active,E17 9AP,2024-06-26
FGV40,LEA BRIDGE ROAD (PHARMACY),Active,E10 7LA,2021-02-10
FH087,K MACGREGORS CHEMIST,Active,E17 5NB,2021-02-10
FH732,CUBITT TOWN PHARMACY,Active,E14 3DN,2024-08-08
FHD94,ALLEN'S PHARMACY,Active,E14 3PQ,2025-06-02
FHF74,DAY LEWIS PHARMACY,Active,E1 5NG,2024-01-09
FHH61,LANSBURY CHEMIST,Active,E14 6GG,2021-02-10
FHP29,BRITANNIA PHARMACY,Active,E15 3HX,2021-02-10
FHV01,SUPERDRUG PHARMACY,Active,E13 9AR,2024-01-09
FHW82,ECLIPSE PYRAMID PHARMACY,Active,E17 7JH,2024-06-26
FJ436,SAFEDALE LTD,Active,E15 1UA,2021-02-10
