bike_point_id,name,latitude,longitude,num_bikes,num_empty_docks,num_docks,installed,locked
BikePoints_1,"River Street , Clerkenwell",51.529163,-0.10997,13,3,19,True,False
BikePoints_2,"Phillimore Gardens, Kensington",51.499606,-0.197574,1,34,37,True,False
BikePoints_3,"Christopher Street, Liverpool Street",51.521283,-0.084605,19,12,32,True,False
BikePoints_4,"St. Chad's Street, King's Cross",51.530059,-0.120973,18,2,23,True,False
BikePoints_5,"Sedding Street, Sloane Square",51.49313,-0.156876,17,8,27,True,False
BikePoints_6,"Broadcasting House, Marylebone",51.518117,-0.144228,0,14,18,True,False
BikePoints_7,"Charlbert Street, St. John's Wood",51.5343,-0.168074,9,6,16,True,False
BikePoints_8,"Maida Vale, Maida Vale",51.529857,-0.183486,12,21,39,True,False
BikePoints_9,"New Globe Walk, Bankside",51.507385,-0.09644,1,18,19,True,False
BikePoints_10,"Park Street, Bankside",51.505974,-0.092754,13,4,18,True,False
BikePoints_11,"Brunswick Square, Bloomsbury",51.523951,-0.122502,13,6,24,True,False
BikePoints_12,"Malet Street, Bloomsbury",51.52168,-0.130431,3,44,49,True,False
BikePoints_13,"Scala Street, Fitzrovia",51.519914,-0.136039,0,20,21,True,False
BikePoints_14,"Argyle Street, Kings Cross",51.529416,-0.123944,27,17,45,True,False
BikePoints_15,"Great Russell Street, Bloomsbury",51.517727,-0.127854,12,10,26,True,False
BikePoints_16,"Cartwright Gardens , Bloomsbury",51.526357,-0.125979,10,8,21,True,False
BikePoints_17,"Hatton Wall, Holborn",51.521661,-0.109006,3,16,26,True,False
BikePoints_18,"Drury Lane, Covent Garden",51.51477,-0.122219,4,22,27,True,False
BikePoints_19,"Taviton Street, Bloomsbury",51.52505,-0.131161,20,7,30,True,False
BikePoints_20,"Drummond Street , Euston",51.527326,-0.136052,7,19,28,True,False
BikePoints_21,"Lansdowne Drive, Hackney Central",51.539834,-0.062806,12,12,26,True,False
BikePoints_22,"Northington Street , Holborn",51.522264,-0.114079,1,11,19,True,False
BikePoints_23,"Red Lion Square, Holborn",51.519435,-0.119123,0,14,16,True,False
BikePoints_24,"British Museum, Bloomsbury",51.51908,-0.124678,25,10,35,True,False
BikePoints_25,"Doric Way , Somers Town",51.528833,-0.13225,24,22,50,True,False
BikePoints_26,"Ampton Street , Clerkenwell",51.52728,-0.118295,13,5,21,True,False
BikePoints_28,"Bolsover Street, Fitzrovia",51.523518,-0.143613,6,11,19,True,False
BikePoints_29,"Hereford Road, Bayswater",51.513735,-0.193487,12,9,22,True,False
BikePoints_30,"Windsor Terrace, Hoxton",51.529154,-0.093421,17,5,24,True,False
BikePoints_31,"Fanshaw Street, Hoxton",51.529537,-0.083353,32,0,36,True,False
